Report,Rank History
App ID,com.zing.zalo
App,Zalo
Market,Google Play
Countries,Vietnam
Device,-
Start Date,07/21/2012
End Date,02/08/2017
Date Generated,02/07/2017 23:00:39 PST

Platform,Device,Country Name,App ID,App Name,Publisher ID,Publisher Name,Date,Type,Overall,Applications,Communication (Applications),Lifestyle (Applications)
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,12/24/2012,Downloads,21,15,5,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,12/25/2012,Downloads,21,15,5,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,12/26/2012,Downloads,24,17,6,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,12/27/2012,Downloads,26,19,6,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,12/28/2012,Downloads,25,18,6,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,12/29/2012,Downloads,25,18,6,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,12/30/2012,Downloads,20,14,6,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,12/31/2012,Downloads,21,15,6,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/01/2013,Downloads,23,16,6,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/02/2013,Downloads,23,16,6,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/03/2013,Downloads,22,15,5,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/04/2013,Downloads,23,16,6,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/05/2013,Downloads,22,16,6,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/06/2013,Downloads,23,17,6,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/07/2013,Downloads,23,17,6,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/08/2013,Downloads,22,17,6,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/09/2013,Downloads,19,16,5,0
