Report,Rank History
App ID,com.zing.zalo
App,Zalo
Market,Google Play
Countries,Vietnam
Device,-
Start Date,01/01/2016
End Date,02/08/2017
Date Generated,02/07/2017 22:57:46 PST

Platform,Device,Country Name,App ID,App Name,Publisher ID,Publisher Name,Date,Type,Overall,Applications,Communication (Applications)
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/16/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/17/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/18/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/19/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/20/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/21/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/22/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/23/2016,Downloads,2,2,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/24/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/25/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/26/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/27/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/28/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/29/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/30/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,05/31/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/01/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/02/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/03/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/04/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/05/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/06/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/07/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/08/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/09/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/10/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/11/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/12/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/13/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/14/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/15/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/16/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/17/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/18/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/19/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/20/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/21/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/22/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/23/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/24/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/25/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/26/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/27/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/28/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/29/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,06/30/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/01/2016,Downloads,3,3,2
