Report,Rank History
App ID,com.tencent.mm
App,WeChat
Market,Google Play
Countries,Vietnam
Device,-
Start Date,01/01/2012
End Date,02/08/2017
Date Generated,02/07/2017 23:02:24 PST

Platform,Device,Country Name,App ID,App Name,Publisher ID,Publisher Name,Date,Type,Overall,Android Wear (Applications),Applications,Communication (Applications),Social (Applications)
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,05/27/2012,Downloads,0,0,0,57,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,05/28/2012,Downloads,0,0,0,57,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,05/29/2012,Downloads,0,0,0,57,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,05/30/2012,Downloads,60,0,36,8,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,05/31/2012,Downloads,42,0,26,7,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,06/01/2012,Downloads,34,0,23,5,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,06/02/2012,Downloads,34,0,23,5,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,06/03/2012,Downloads,29,0,20,5,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,06/04/2012,Downloads,31,0,20,5,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,06/05/2012,Downloads,30,0,21,5,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,06/06/2012,Downloads,29,0,19,5,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,06/07/2012,Downloads,29,0,18,5,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,06/08/2012,Downloads,28,0,17,5,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,06/09/2012,Downloads,34,0,22,5,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,06/10/2012,Downloads,35,0,22,5,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,06/11/2012,Downloads,36,0,22,5,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,06/12/2012,Downloads,38,0,23,5,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,06/13/2012,Downloads,39,0,23,5,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,06/14/2012,Downloads,38,0,23,5,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,06/15/2012,Downloads,41,0,25,5,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,06/16/2012,Downloads,42,0,25,5,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,06/17/2012,Downloads,45,0,26,6,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,06/18/2012,Downloads,48,0,28,7,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,06/19/2012,Downloads,51,0,28,7,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,06/20/2012,Downloads,61,0,37,7,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,06/21/2012,Downloads,68,0,42,9,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,06/22/2012,Downloads,72,0,46,9,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,06/23/2012,Downloads,75,0,48,10,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,06/24/2012,Downloads,74,0,46,9,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,06/25/2012,Downloads,73,0,45,9,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,06/26/2012,Downloads,77,0,45,9,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,06/27/2012,Downloads,82,0,50,10,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,06/28/2012,Downloads,82,0,50,10,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,06/29/2012,Downloads,89,0,53,10,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,06/30/2012,Downloads,94,0,55,10,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,07/01/2012,Downloads,95,0,56,10,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,07/02/2012,Downloads,100,0,62,10,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,07/03/2012,Downloads,100,0,64,11,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,07/04/2012,Downloads,95,0,59,11,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,07/05/2012,Downloads,93,0,59,11,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,07/06/2012,Downloads,93,0,59,10,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,07/07/2012,Downloads,92,0,58,10,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,07/08/2012,Downloads,95,0,58,10,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,07/09/2012,Downloads,92,0,55,10,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,07/10/2012,Downloads,89,0,53,10,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,07/11/2012,Downloads,88,0,53,10,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,07/12/2012,Downloads,83,0,53,10,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,07/13/2012,Downloads,76,0,51,10,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,07/14/2012,Downloads,61,0,41,8,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,07/15/2012,Downloads,53,0,36,7,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,07/16/2012,Downloads,50,0,33,7,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,07/17/2012,Downloads,43,0,29,6,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,07/18/2012,Downloads,40,0,27,5,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,07/19/2012,Downloads,37,0,24,5,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,07/20/2012,Downloads,34,0,20,5,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,07/21/2012,Downloads,34,0,20,5,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,07/22/2012,Downloads,34,0,20,5,0
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,07/23/2012,Downloads,35,0,21,5,0
